"source","destination","min","avg","max","mdev"
"London","N.California","148.039","148.077","149.161","0.040",
"London","N.Virginia","74.592","74.626","75.005","0.025",
"London","Ohio","86.452","86.511","87.354","0.040",
"London","Oregon","127.868","127.917","128.759","0.037",
"London","Osaka","215.148","215.205","218.580","0.095",
"London","Paris","9.142","9.170","10.092","0.041",
"London","Saopaulo","184.816","184.878","194.902","0.283",
"London","Seoul","238.638","238.664","239.131","0.020",
"London","Singapore","173.205","173.248","173.660","0.026",
"London","Spain","39.071","39.119","40.515","0.041",
"London","Stockholm","31.433","31.461","32.835","0.037",
"London","Sydney","264.607","264.651","265.337","0.038",
"London","Tokyo","208.103","209.157","323.532","6.771",
"London","Zurich","16.945","16.968","17.312","0.016",
"Milan","Canada","98.604","98.643","100.188","0.057",
"Milan","Capetown","143.817","143.847","144.428","0.034",
"Milan","Frankfrut","9.996","10.037","11.211","0.046",
"Milan","Hongkong","180.200","180.356","182.769","0.150",
"Milan","Ireland","36.386","36.422","37.222","0.047",
"Milan","London","22.899","22.939","23.698","0.044",
"Milan","Milan","0.116","0.157","1.010","0.045",
"Milan","N.California","158.320","158.355","160.000","0.050",
"Milan","N.Virginia","99.007","99.067","99.888","0.040",
"Milan","Ohio","108.795","109.873","113.129","0.939",
"Milan","Oregon","148.787","148.826","150.274","0.062",
"Milan","Osaka","219.989","221.587","222.390","0.949",
"Milan","Paris","18.406","18.445","19.628","0.049",
"Milan","Saopaulo","211.507","211.549","213.014","0.058",
"Milan","Seoul","219.181","219.217","220.569","0.055",
"Milan","Singapore","147.092","147.141","147.698","0.089",
"Milan","Spain","34.170","34.209","34.754","0.034",
"Milan","Stockholm","29.374","29.734","30.790","0.206",
"Milan","Sydney","239.296","239.339","240.635","0.062",
"Milan","Tokyo","213.785","214.037","215.408","0.106",
"Milan","Zurich","3.972","4.010","5.100","0.040",
"N.California","Canada","77.718","78.304","79.082","0.436",
"N.California","Capetown","277.279","277.306","277.469","0.010",
"N.California","Frankfrut","152.084","153.131","153.787","0.732",
"N.California","Hongkong","149.902","150.616","155.059","1.573",
"N.California","Ireland","129.472","130.062","131.407","0.794",
"N.California","London","146.296","146.937","148.449","0.827",
"N.California","Milan","160.802","160.837","161.360","0.033",
"N.California","N.California","0.128","0.148","0.260","0.010",
"N.California","N.Virginia","58.906","58.940","59.361","0.025",
"N.California","Ohio","51.037","51.092","52.126","0.177",
"N.California","Oregon","20.026","20.048","20.467","0.049",
"N.California","Osaka","108.162","108.273","108.453","0.064",
"N.California","Paris","140.274","141.129","141.423","0.323",
"N.California","Saopaulo","173.103","173.133","173.301","0.011",
"N.California","Seoul","125.601","125.688","126.841","0.059",
"N.California","Singapore","175.370","175.407","176.523","0.050",
"N.California","Spain","159.906","166.833","168.931","3.028",
"N.California","Stockholm","168.963","168.979","169.034","0.006",
"N.California","Sydney","137.223","137.249","137.387","0.010",
"N.California","Tokyo","105.506","105.535","105.937","0.016",
"N.California","Zurich","150.251","152.561","153.471","0.924",
"N.Virginia","Canada","14.126","14.269","14.534","0.104",
"N.Virginia","Capetown","222.846","222.880","224.885","0.058",
"N.Virginia","Frankfrut","90.234","90.271","90.729","0.023",
"N.Virginia","Hongkong","193.503","196.182","206.646","1.521",
"N.Virginia","Ireland","67.710","68.054","77.126","0.274",
"N.Virginia","London","75.383","75.461","76.051","0.061",
"N.Virginia","Milan","99.406","99.448","100.615","0.048",
"N.Virginia","N.California","63.590","63.619","63.741","0.013",
"N.Virginia","N.Virginia","0.231","0.276","1.099","0.052",
"N.Virginia","Ohio","9.943","11.910","12.484","0.746",
"N.Virginia","Oregon","57.384","57.418","57.630","0.023",
"N.Virginia","Osaka","149.617","149.641","149.783","0.011",
"N.Virginia","Paris","81.911","81.942","83.288","0.046",
"N.Virginia","Saopaulo","114.110","114.135","114.482","0.018",
"N.Virginia","Seoul","173.856","174.616","218.508","1.368",
"N.Virginia","Singapore","212.443","214.388","215.597","0.788",
"N.Virginia","Spain","100.991","101.092","101.650","0.058",
"N.Virginia","Stockholm","110.174","110.671","111.002","0.193",
"N.Virginia","Sydney","199.496","199.522","199.829","0.017",
"N.Virginia","Tokyo","141.107","141.338","208.506","1.942",
"N.Virginia","Zurich","89.626","89.766","90.122","0.064",
"Ohio","Canada","25.606","25.638","25.984","0.027",
"Ohio","Capetown","239.036","240.545","242.136","1.057",
"Ohio","Frankfrut","99.132","99.162","99.490","0.025",
"Ohio","Hongkong","184.193","184.410","196.335","0.505",
"Ohio","Ireland","76.959","76.990","77.518","0.032",
"Ohio","London","86.764","86.802","87.191","0.036",
"Ohio","Milan","111.062","111.103","112.633","0.054",
"Ohio","N.California","51.832","51.857","52.339","0.028",
"Ohio","N.Virginia","9.880","10.024","10.397","0.079",
"Ohio","Ohio","0.124","0.159","0.363","0.021",
"Ohio","Oregon","48.507","48.963","49.691","0.477",
"Ohio","Osaka","137.686","137.762","138.514","0.042",
"Ohio","Paris","90.924","90.952","91.237","0.020",
"Ohio","Saopaulo","124.351","124.379","124.650","0.020",
"Ohio","Seoul","160.821","160.918","161.570","0.066",
"Ohio","Singapore","201.739","201.785","202.621","0.078",
"Ohio","Spain","110.020","114.571","115.070","1.000",
"Ohio","Stockholm","121.281","121.330","121.700","0.032",
"Ohio","Sydney","187.385","187.423","187.599","0.020",
"Ohio","Tokyo","130.365","131.345","131.727","0.209",
"Ohio","Zurich","102.701","102.765","103.045","0.060",
"Oregon","Canada","59.154","59.179","59.732","0.023",
"Oregon","Capetown","269.695","269.723","270.389","0.022",
"Oregon","Frankfrut","138.694","139.820","141.257","0.940",
"Oregon","Hongkong","138.820","143.353","144.767","1.386",
"Oregon","Ireland","118.409","118.441","121.051","0.072",
"Oregon","London","127.883","127.924","128.235","0.029",
"Oregon","Milan","149.249","149.297","151.600","0.078",
"Oregon","N.California","20.432","20.531","20.859","0.132",
"Oregon","N.Virginia","59.511","59.970","60.660","0.338",
"Oregon","Ohio","48.660","49.036","50.010","0.518",
"Oregon","Oregon","0.122","0.151","0.553","0.022",
"Oregon","Osaka","97.236","97.264","97.445","0.014",
"Oregon","Paris","132.128","132.987","133.851","0.748",
"Oregon","Saopaulo","171.589","172.010","173.374","0.361",
"Oregon","Seoul","124.632","124.667","124.972","0.025",
"Oregon","Singapore","164.078","164.123","166.220","0.087",
"Oregon","Spain","153.344","154.883","158.202","2.173",
"Oregon","Stockholm","155.121","155.152","155.354","0.015",
"Oregon","Sydney","138.573","138.611","139.860","0.052",
"Oregon","Tokyo","95.377","95.954","96.539","0.335",
"Oregon","Zurich","140.069","140.789","141.181","0.328",
"Osaka","Canada","147.801","148.044","150.032","0.531",
"Osaka","Capetown","274.815","274.840","275.069","0.013",
"Osaka","Frankfrut","230.881","230.909","230.963","0.009",
"Osaka","Hongkong","47.193","47.248","48.127","0.060",
"Osaka","Ireland","205.434","206.097","206.247","0.102",
"Osaka","London","214.148","214.224","214.766","0.033",
"Osaka","Milan","221.971","222.004","222.826","0.040",
"Osaka","N.California","107.837","107.986","108.294","0.168",
"Osaka","N.Virginia","146.089","146.120","146.472","0.020",
"Osaka","Ohio","137.691","137.710","137.792","0.009",
"Osaka","Oregon","97.084","97.175","97.527","0.079",
"Osaka","Osaka","0.091","0.111","0.136","0.007",
"Osaka","Paris","220.039","220.064","220.510","0.015",
"Osaka","Saopaulo","260.946","261.103","271.537","0.394",
"Osaka","Seoul","23.038","23.064","23.548","0.024",
"Osaka","Singapore","73.139","73.165","74.650","0.054",
"Osaka","Spain","249.090","249.448","251.244","0.762",
"Osaka","Stockholm","250.571","250.606","250.735","0.039",
"Osaka","Sydney","121.652","121.679","122.019","0.016",
"Osaka","Tokyo","7.408","7.431","7.663","0.017",
"Osaka","Zurich","223.582","223.957","225.725","0.760",
"Paris","Canada","83.805","83.878","86.257","0.155",
"Paris","Capetown","142.160","142.188","142.300","0.009",
"Paris","Frankfrut","9.529","9.557","9.731","0.010",
"Paris","Hongkong","202.654","203.614","205.577","0.935",
"Paris","Ireland","17.181","17.207","17.795","0.027",
"Paris","London","8.354","8.462","11.255","0.351",
"Paris","Milan","18.436","18.467","19.499","0.042",
"Paris","N.California","141.087","141.119","141.818","0.021",
"Paris","N.Virginia","81.570","81.634","81.914","0.041",
"Paris","Ohio","92.570","92.610","93.984","0.093",
"Paris","Oregon","131.930","132.772","134.042","0.123",
"Paris","Osaka","220.235","220.293","222.212","0.134",
"Paris","Paris","0.262","0.309","2.712","0.164",
"Paris","Saopaulo","193.710","194.310","197.234","0.488",
"Paris","Seoul","244.869","244.912","262.170","0.448",
"Paris","Singapore","165.730","165.764","167.748","0.058",
"Paris","Spain","17.692","17.716","18.131","0.023",
"Paris","Stockholm","29.154","29.187","29.535","0.021",
"Paris","Sydney","276.140","277.844","278.279","0.570",
"Paris","Tokyo","214.675","214.699","215.694","0.028",
"Paris","Zurich","9.075","9.106","9.454","0.027",
"Saopaulo","Canada","123.465","123.682","124.400","0.132",
"Saopaulo","Capetown","336.297","336.474","337.229","0.053",
"Saopaulo","Frankfrut","201.513","201.537","201.698","0.012",
"Saopaulo","Hongkong","296.265","299.735","310.109","5.249",
"Saopaulo","Ireland","176.775","176.803","176.993","0.012",
"Saopaulo","London","183.916","183.949","184.697","0.032",
"Saopaulo","Milan","211.254","211.457","212.054","0.127",
"Saopaulo","N.California","172.335","174.514","174.878","0.450",
"Saopaulo","N.Virginia","114.408","114.699","115.339","0.178",
"Saopaulo","Ohio","121.725","121.753","121.848","0.012",
"Saopaulo","Oregon","171.698","171.738","172.130","0.078",
"Saopaulo","Osaka","260.376","260.608","260.995","0.132",
"Saopaulo","Paris","193.728","193.761","194.007","0.028",
"Saopaulo","Saopaulo","0.228","0.255","0.388","0.010",
"Saopaulo","Seoul","283.415","283.741","284.471","0.236",
"Saopaulo","Singapore","324.401","324.433","324.930","0.059",
"Saopaulo","Spain","213.018","213.318","217.499","0.984",
"Saopaulo","Stockholm","213.638","213.665","213.838","0.010",
"Saopaulo","Sydney","310.217","310.245","310.707","0.029",
"Saopaulo","Tokyo","253.587","254.166","255.231","0.705",
"Saopaulo","Zurich","202.721","202.749","203.062","0.020",
"Seoul","Canada","171.443","171.538","172.760","0.131",
"Seoul","Capetown","286.011","286.651","289.840","1.383",
"Seoul","Frankfrut","226.499","226.700","227.110","0.093",
"Seoul","Hongkong","35.706","36.001","37.384","0.349",
"Seoul","Ireland","228.371","228.493","248.308","0.789",
"Seoul","London","238.698","238.727","238.904","0.018",
"Seoul","Milan","219.837","219.874","220.747","0.041",
"Seoul","N.California","129.999","130.020","130.297","0.015",
"Seoul","N.Virginia","171.134","171.165","173.270","0.058",
"Seoul","Ohio","161.241","161.668","162.214","0.043",
"Seoul","Oregon","118.948","119.378","120.157","0.043",
"Seoul","Osaka","27.950","27.972","28.149","0.013",
"Seoul","Paris","244.392","244.480","285.487","1.258",
"Seoul","Saopaulo","283.852","283.884","284.398","0.023",
"Seoul","Seoul","0.359","0.384","0.468","0.008",
"Seoul","Singapore","71.891","72.597","73.519","0.705",
"Seoul","Spain","244.244","245.963","246.860","0.747",
"Seoul","Stockholm","244.491","244.517","244.774","0.013",
"Seoul","Sydney","143.233","143.256","143.684","0.020",
"Seoul","Tokyo","36.821","36.849","37.415","0.027",
"Seoul","Zurich","221.260","221.281","222.079","0.023",
"Singapore","Canada","211.965","211.998","212.785","0.032",
"Singapore","Capetown","214.143","214.177","215.163","0.050",
"Singapore","Frankfrut","158.855","158.886","159.315","0.026",
"Singapore","Hongkong","31.158","32.841","39.005","2.124",
"Singapore","Ireland","183.276","183.312","184.769","0.048",
"Singapore","London","171.867","172.608","174.473","0.315",
"Singapore","Milan","149.287","149.316","150.349","0.043",
"Singapore","N.California","169.553","171.796","177.576","2.518",
"Singapore","N.Virginia","213.144","213.876","216.448","1.220",
"Singapore","Ohio","201.665","201.950","202.744","0.223",
"Singapore","Oregon","158.361","158.397","159.060","0.065",
"Singapore","Osaka","73.136","73.168","74.030","0.026",
"Singapore","Paris","167.214","167.240","167.770","0.021",
"Singapore","Saopaulo","324.959","325.104","325.358","0.039",
"Singapore","Seoul","69.576","70.150","71.435","0.714",
"Singapore","Singapore","0.105","0.133","0.269","0.013",
"Singapore","Spain","172.468","172.818","174.608","0.711",
"Singapore","Stockholm","178.279","178.639","180.472","0.599",
"Singapore","Sydney","91.846","91.872","94.645","0.074",
"Singapore","Tokyo","67.198","67.231","69.252","0.072",
